rule,timestamp,ip
R3_ransomware_detected,2025-06-22T18:36:58.344391,192.168.1.50
R1_login_failures,2025-06-22T18:36:58.353984,192.168.1.101
R3_ransomware_detected,2025-06-22T18:38:07.183240,192.168.1.50
R1_login_failures,2025-06-22T18:38:07.192420,192.168.1.101
R3_ransomware_detected,2025-06-22T18:39:03.498379,192.168.1.50
R1_login_failures,2025-06-22T18:39:03.510239,192.168.1.101
R3_ransomware_detected,2025-06-22T18:39:15.412214,192.168.1.50
R3_ransomware_detected,2025-06-22T18:39:15.412647,192.168.1.50
R3_ransomware_detected,2025-06-22T18:39:15.413342,192.168.1.50
R1_login_failures,2025-06-22T18:39:15.414087,192.168.1.50
R3_ransomware_detected,2025-06-22T18:39:30.440223,192.168.1.50
R3_ransomware_detected,2025-06-22T18:39:30.440720,192.168.1.50
R3_ransomware_detected,2025-06-22T18:39:30.441149,192.168.1.50
R1_login_failures,2025-06-22T18:39:30.442100,192.168.1.50
R3_ransomware_detected,2025-06-22T18:42:25.457810,192.168.1.50
R1_login_failures,2025-06-22T18:42:25.470503,192.168.1.101
R3_ransomware_detected,2025-06-22T18:46:48.604021,192.168.1.50
R3_ransomware_detected,2025-06-22T18:46:48.605557,192.168.1.50
R3_ransomware_detected,2025-06-22T18:46:48.605557,192.168.1.50
R1_login_failures,2025-06-22T18:46:48.607117,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:03.658435,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:03.658435,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:03.659434,192.168.1.50
R1_login_failures,2025-06-22T18:47:03.661444,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:18.689873,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:18.690867,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:18.690867,192.168.1.50
R1_login_failures,2025-06-22T18:47:18.692393,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:33.717782,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:33.717782,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:33.718782,192.168.1.50
R1_login_failures,2025-06-22T18:47:33.721297,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:48.746963,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:48.747966,192.168.1.50
R3_ransomware_detected,2025-06-22T18:47:48.747966,192.168.1.50
R1_login_failures,2025-06-22T18:47:48.748968,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:03.783556,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:03.784556,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:03.784556,192.168.1.50
R1_login_failures,2025-06-22T18:48:03.785556,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:18.838098,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:18.839616,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:18.844216,192.168.1.50
R1_login_failures,2025-06-22T18:48:18.854752,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:33.907973,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:33.907973,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:33.907973,192.168.1.50
R1_login_failures,2025-06-22T18:48:33.908995,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:48.939710,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:48.939710,192.168.1.50
R3_ransomware_detected,2025-06-22T18:48:48.939710,192.168.1.50
R1_login_failures,2025-06-22T18:48:48.940777,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:03.978903,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:03.979414,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:03.979414,192.168.1.50
R1_login_failures,2025-06-22T18:49:03.979414,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:19.008318,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:19.008318,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:19.008318,192.168.1.50
R1_login_failures,2025-06-22T18:49:19.009339,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:34.037799,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:34.037799,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:34.038418,192.168.1.50
R1_login_failures,2025-06-22T18:49:34.039471,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:49.065929,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:49.067129,192.168.1.50
R3_ransomware_detected,2025-06-22T18:49:49.067129,192.168.1.50
R1_login_failures,2025-06-22T18:49:49.067129,192.168.1.50
R3_ransomware_detected,2025-06-22T18:50:04.091109,192.168.1.50
